period,period_start,period_end,level,id,title,repos,merged_prs,noise_prs,integration_prs,ticket_count,dev_time_median_h,dev_time_p85_h,queue_median_h,queue_p85_h,queue_samples,tickets_reached_main_pct,tickets_via_team,tickets_on_main,tickets_multi_repo,multi_repo_pct,unjoined_ticket_pct,cycle_time_median_h,cycle_time_p85_h,cycle_time_samples,cycle_to_team_median_h,cycle_to_team_p85_h,cycle_to_team_samples,cycle_to_main_median_h,cycle_to_main_p85_h,cycle_to_main_samples,direct_to_main_pct,delivery_model,trunk_based_repos,time_to_main_median_h,time_to_main_p85_h,time_to_main_samples,time_to_main_coverage_pct,reached_main_pct,in_flight_changes,in_flight_pct,in_flight_median_age_h,in_flight_p85_age_h,on_main_undated,branch_deleted,time_to_main_unknown,lead_time_median_d,lead_time_p85_d,release_wait_median_d,shipped_changes,lead_samples,shipped_estimated_dates,shipped_untraceable,change_failure_rate_pct,corrective_changes,deployments,failed_deployments,cfr_source,defect_escape_rate_pct,escaped_defects,caught_defects,der_source,generated_at
2026-03,2026-03-01,2026-04-01,product,ui-notification-system,UI Notification System,1,3,0,3,3,141.4,514.9,,,0,0.0,2,0,2,66.7,0.0,42.0,44.8,3,22.1,36.0,2,46.0,46.0,1,33.3,team-branch,0,46.0,46.0,1,33.3,33.3,2,66.7,3942.9,3950.9,0,0,0,52.6,80.9,13.1,3,2,0,1,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,users-and-groups-system,Users and Groups System,4,8,0,1,6,586.5,2096.6,,,0,0.0,5,0,4,66.7,16.7,1.8,481.4,8,1.1,89.5,7,3285.1,3285.1,1,12.5,team-branch,0,3285.1,3285.1,1,12.5,12.5,7,87.5,4173.2,4428.0,0,0,0,151.2,154.7,22.2,5,2,0,3,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,work-management-system,Work Management System,3,2,0,3,2,2187.1,3717.7,,,0,,0,0,1,50.0,0.0,15.3,25.8,2,,,0,15.3,25.8,2,100.0,team-branch,0,15.3,25.8,2,100.0,100.0,0,0.0,,,0,0,0,73.8,135.4,13.1,9,4,0,5,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,repo,cp-ai-rag-service,cp-ai-rag-service,1,14,0,0,12,8.2,175.5,,,0,,0,0,0,0.0,58.3,8.2,101.9,14,,,0,8.2,101.9,14,100.0,trunk-based,1,8.2,101.9,14,100.0,100.0,0,0.0,,,0,0,0,,,,0,0,0,0,14.3,2,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cp-audit-reports-service-v2,cp-audit-reports-service-v2,1,8,0,0,7,2.3,234.6,,,0,,0,0,0,0.0,57.1,1.7,213.6,8,,,0,1.7,213.6,8,100.0,trunk-based,1,1.7,213.6,8,100.0,100.0,0,0.0,,,0,0,0,,,,0,0,0,0,0.0,0,,,github-corrective-prs,,0,3,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cp-case-document-knowledge-service,cp-case-document-knowledge-service,1,4,0,0,4,11.7,169.3,,,0,,0,0,0,0.0,50.0,11.7,169.3,4,,,0,11.7,169.3,4,100.0,team-branch,0,11.7,169.3,4,100.0,100.0,0,0.0,,,0,0,0,,,,0,0,0,0,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cp-court-list-publishing-service,cp-court-list-publishing-service,1,25,5,2,24,26.2,237.2,,,0,0.0,23,0,2,8.3,8.3,16.0,204.1,25,17.6,237.2,24,3.6,3.6,1,4.0,team-branch,0,3.6,3.6,1,4.0,4.0,24,96.0,4416.1,4557.1,0,0,0,8.6,8.8,4.3,2,2,0,0,0.0,0,,,github-corrective-prs,,0,7,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cp-file-service,cp-file-service,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,unclassified,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-applications-courtorders,cpp-context-applications-courtorders,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,23.1,1,0,0,1,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,repo,cpp-context-archiving,cpp-context-archiving,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,23.1,1,0,0,1,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
